HDI rank 2020,Country,HDI 2019 ,Life expectancy at birth 2019,Expected years of schooling 2019,Mean years of schooling 2019,Gross national income (GNI) per capita 2019,GNI per capita rank minus HDI rank 2019,HDI rank 2018,label,Refugees by country of origin 1000s 2019,Internally displaced persons 1000s,Homeless people due to natural disaster avergae per million,Orphaned children 1000s 2019,Prison population per 100k 2013-18,Homicide rate per 100k 2013-18,Suicides per 100K Female 2016,Suicides per 100K Male 2016,"HIV prevalence, adult % 15-49",Healthy life expectancy at birth,Current health expenditure % GDP,Exports and imports % GDP,"Foreign direct investment, net inflows  % GDP",Net migration rate per 1000,Lost health expectancy %,Physicians per 100k,Hospital beds,"Pupil–teacher ratio, primary school"
1.00,Norway,0.96,82.40,18.07,12.90,66494.25,7.00,1.00,1.00,0.01,..,..,..,79.80,0.47,6.50,13.60,0.10,70.84,10.45,72.15,0.44,5.27,14.56,29.16,35.30,8.59
2.00,Ireland,0.96,82.31,18.71,12.67,68370.59,4.00,3.00,1.00,0.00,..,..,34.00,82.20,0.87,4.20,17.60,0.20,70.35,7.18,239.22,-20.39,4.92,14.22,33.13,29.70,16.06
2.00,Switzerland,0.96,83.78,16.33,13.38,69393.52,3.00,2.00,1.00,0.01,..,..,..,77.40,0.59,6.90,15.80,..,72.02,12.35,119.44,-2.61,6.14,14.24,42.96,46.30,9.93
4.00,"Hong Kong, China (SAR)",0.95,84.86,16.93,12.28,62984.77,7.00,4.00,1.00,0.01,..,0.00,..,111.70,0.65,..,..,..,..,..,352.82,14.53,3.99,..,..,..,13.35
4.00,Iceland,0.95,82.99,19.08,12.77,54682.38,14.00,4.00,1.00,0.01,..,0.00,..,40.40,0.89,4.70,21.70,0.10,72.32,8.33,85.92,-1.80,1.13,13.99,40.78,28.30,10.14
6.00,Germany,0.95,81.33,16.98,14.15,55314.35,11.00,4.00,1.00,0.07,..,..,..,79.10,0.95,4.80,13.60,0.10,69.72,11.25,88.10,1.33,6.57,14.13,42.49,80.00,12.30
7.00,Sweden,0.95,82.80,19.48,12.55,54507.81,12.00,7.00,1.00,0.01,..,..,..,61.30,1.08,7.40,15.80,..,71.39,11.02,90.49,4.56,4.03,13.81,39.84,21.40,12.23
8.00,Australia,0.94,83.44,21.95,12.72,48084.84,15.00,7.00,1.00,0.02,..,55.35,140.00,172.60,0.89,6.00,17.40,0.10,70.31,9.21,45.69,2.77,6.40,15.19,36.78,38.40,..
8.00,Netherlands,0.94,82.28,18.49,12.41,57707.07,6.00,9.00,1.00,0.06,..,..,100.00,65.90,0.59,6.40,12.90,..,70.62,10.10,154.32,3.09,0.94,13.61,36.05,31.70,11.81
10.00,Denmark,0.94,80.90,18.89,12.61,58661.87,2.00,10.00,1.00,0.01,..,..,..,63.20,1.01,5.20,13.20,0.10,69.92,10.11,105.00,-1.86,2.65,13.82,40.10,26.00,10.74
11.00,Finland,0.94,81.91,19.40,12.82,48511.40,11.00,11.00,1.00,..,..,..,..,53.50,1.63,6.80,20.80,0.10,70.34,9.21,79.47,3.08,2.54,14.08,38.12,36.10,13.67
11.00,Singapore,0.94,83.62,16.44,11.62,88155.21,-8.00,12.00,1.00,0.04,..,..,17.00,207.80,0.16,4.90,11.10,0.20,74.48,4.44,319.15,28.35,4.72,12.22,22.94,24.90,14.69
13.00,United Kingdom,0.93,81.32,17.50,13.24,46070.64,13.00,14.00,1.00,0.06,..,0.00,..,137.08,1.20,3.50,11.90,..,69.11,9.63,64.25,0.96,3.90,14.75,28.12,24.60,15.13
