DY
189
23
Life expectancy at birth 2019;Expected years of schooling 2019;Mean years of schooling 2019;Gross national income (GNI) per capita 2019;GNI per capita rank minus HDI rank 2019;Refugees by country of origin 1000s 2019;Internally displaced persons 1000s;Homeless people due to natural disaster avergae per million;Orphaned children 1000s 2019;Prison population per 100k 2013-18;Homicide rate per 100k 2013-18;Suicides per 100K Female 2016;Suicides per 100K Male 2016;HIV prevalence adult % 15-49;Healthy life expectancy at birth;Current health expenditure % GDP;Exports and imports % GDP;Foreign direct investment net inflows  % GDP;Net migration rate per 1000;Lost health expectancy;Physicians per 100k;Hospital beds;Pupil–teacher ratio primary school
Norway;82.4;18.07;12.9;66494.25;7;0.01;;;;79.8;0.47;6.5;13.6;0.1;70.84;10.45;72.15;0.44;5.27;14.56;29.16;35.3;8.59;1
Ireland;82.31;18.71;12.67;68370.59;4;0;;;34;82.2;0.87;4.2;17.6;0.2;70.35;7.18;239.22;-20.39;4.92;14.22;33.13;29.7;16.06;1
Switzerland;83.78;16.33;13.38;69393.52;3;0.01;;;;77.4;0.59;6.9;15.8;;72.02;12.35;119.44;-2.61;6.14;14.24;42.96;46.3;9.93;1
"Hong Kong China (SAR)";84.86;16.93;12.28;62984.77;7;0.01;;0;;111.7;0.65;;;;;;352.82;14.53;3.99;;;;13.35;1
Iceland;82.99;19.08;12.77;54682.38;14;0.01;;0;;40.4;0.89;4.7;21.7;0.1;72.32;8.33;85.92;-1.8;1.13;13.99;40.78;28.3;10.14;1
Germany;81.33;16.98;14.15;55314.35;11;0.07;;;;79.1;0.95;4.8;13.6;0.1;69.72;11.25;88.1;1.33;6.57;14.13;42.49;80;12.3;1
Sweden;82.8;19.48;12.55;54507.81;12;0.01;;;;61.3;1.08;7.4;15.8;;71.39;11.02;90.49;4.56;4.03;13.81;39.84;21.4;12.23;1
Australia;83.44;21.95;12.72;48084.84;15;0.02;;55.35;140;172.6;0.89;6;17.4;0.1;70.31;9.21;45.69;2.77;6.4;15.19;36.78;38.4;;1
Netherlands;82.28;18.49;12.41;57707.07;6;0.06;;;100;65.9;0.59;6.4;12.9;;70.62;10.1;154.32;3.09;0.94;13.61;36.05;31.7;11.81;1
Denmark;80.9;18.89;12.61;58661.87;2;0.01;;;;63.2;1.01;5.2;13.2;0.1;69.92;10.11;105;-1.86;2.65;13.82;40.1;26;10.74;1
Finland;81.91;19.4;12.82;48511.4;11;;;;;53.5;1.63;6.8;20.8;0.1;70.34;9.21;79.47;3.08;2.54;14.08;38.12;36.1;13.67;1
Singapore;83.62;16.44;11.62;88155.21;-8;0.04;;;17;207.8;0.16;4.9;11.1;0.2;74.48;4.44;319.15;28.35;4.72;12.22;22.94;24.9;14.69;1
United Kingdom;81.32;17.5;13.24;46070.64;13;0.06;;0;;137.08;1.2;3.5;11.9;;69.11;9.63;64.25;0.96;3.9;14.75;28.12;24.6;15.13;1
Belgium;81.63;19.77;12.05;52084.59;6;0.04;;;;87.7;1.69;9.4;22.2;;69.72;10.34;163.29;-5.39;4.2;14.36;30.71;55.8;11.28;1
New Zealand;82.29;18.84;12.78;40798.72;18;0.04;;6.22;33;206.2;0.74;6.2;17.3;0.1;69.59;9.17;55.94;1.91;3.15;14.91;35.9;25.7;14.92;1
Canada;82.43;16.16;13.37;48527.04;5;0.07;;17.95;;107.7;1.76;5.8;15.1;;70.45;10.57;64.98;2.58;6.56;14.27;26.1;25.2;;1
United States;78.86;16.31;13.41;63825.66;-7;0.31;;50.58;3310;662.5;4.96;6.4;21.1;;65.43;17.06;26.39;1.45;2.93;17.11;26.12;28.7;14.2;1
Austria;81.54;16.09;12.55;56196.9;-3;0.02;;;;103.1;0.97;5.7;17.5;;70.6;10.4;107.72;2.94;7.35;14.07;51.7;72.7;10.02;1
Israel;82.97;16.16;13.03;40186.85;14;0.46;;;;231.2;1.49;2.4;8.2;0.2;71.82;7.41;58.46;4.61;1.2;13.47;46.25;29.8;12.07;1
Japan;84.63;15.23;12.85;42931.7;9;0.04;;17.36;;39.8;0.26;8.1;20.5;0.1;73.84;10.94;36.82;0.73;0.56;12.92;24.12;129.8;15.66;1
Liechtenstein;80.67;14.9;12.54;131031.59;-18;0;;;;165.8;2.64;;;;;;;595.15;;;;;7.8;1
Slovenia;81.32;17.57;12.66;38079.53;15;0.02;;0;;67.2;0.48;4.5;22.4;0.1;70.38;8.19;159.74;2.57;0.96;13.54;30.86;44.3;13.8;1
Korea (Republic of);83.03;16.48;12.21;43043.71;4;0.18;;3.6;;105.9;0.6;11.6;29.6;;72.33;7.6;76.71;0.64;0.23;12.77;23.61;124.3;16.29;1
Luxembourg;82.25;14.26;12.31;72711.67;-19;0;;;;107.6;0.34;5.8;15;0.3;70.99;5.48;381.52;-7.92;16.33;14.38;30.09;42.6;8.3;1
Spain;83.57;17.62;10.25;40974.52;6;0.05;;29.14;250;126.1;0.62;3.1;9.3;0.3;71.6;8.87;66.92;1.33;0.86;13.83;38.72;29.7;13.13;1
France;82.66;15.64;11.48;47172.54;-1;0.05;;0;550;106.4;1.2;6.5;17.9;0.3;71.5;11.31;64.52;2.47;0.56;13.71;32.67;59.1;18.18;1
Czechia;79.38;16.79;12.72;38108.57;9;1.17;;0;;202.3;0.62;4.2;17.2;0.1;68.6;7.23;144.88;3.79;2.07;13.66;41.21;66.2;18.93;1
Malta;82.53;16.1;11.33;39554.52;6;0;;;;141;1.59;2.8;10.3;;71.07;9.34;261.01;30.27;2.06;13.94;28.6;44.9;12.94;1
Estonia;78.75;15.99;13.14;36019.27;9;0.27;;;;195.3;2.12;4.4;25.6;0.9;68.13;6.43;141.15;9.23;2.96;12.71;44.83;45.7;11.31;1
Italy;83.51;16.09;10.38;42776.36;0;0.08;;114.43;290;100.8;0.57;2.6;8.4;0.3;71.24;8.84;60.14;1.46;2.46;14.27;39.77;31.4;11.48;1
United Arab Emirates;77.97;14.34;12.11;67462.1;-24;0.16;;;;106.6;0.46;0.8;3.5;;64.38;3.33;160.94;2.46;4.18;12.88;25.28;13.8;24.52;1
Greece;82.24;17.91;10.55;30154.63;14;0.1;;2.76;;101.3;0.94;1.5;6.1;;69.91;8.04;74.38;2.2;-1.52;13.62;54.79;42;9.38;1
Cyprus;80.98;15.17;12.17;38206.84;2;0;228;0;;52.1;1.26;1.9;7.2;;69.9;6.68;142.64;97.05;4.22;13.5;19.51;34;12.04;1
Lithuania;75.93;16.64;13.08;35798.67;5;0.07;;;44;231.5;4.57;6.7;47.5;;66.56;6.46;150.58;2.5;-11.6;12.69;63.53;64.3;13.52;1
Poland;78.73;16.3;12.47;31622.55;8;0.97;;0;;192;0.73;3.4;23.9;;68.12;6.54;106.24;2.54;-0.78;12.78;23.79;65.4;10.18;1
Andorra;81.91;13.3;10.5;56000.3;-20;0;;;;63.6;0;;;;70.88;10.32;;;;13.77;33.33;;10.5;1
Latvia;75.29;16.17;13.03;30282.39;8;0.15;;;29;182.7;4.36;5.1;31;0.4;66.32;5.96;119.73;2.64;-7.64;12.58;31.91;54.9;11.54;1
Portugal;82.05;16.54;9.26;33966.83;2;0.02;;27.98;;127;0.79;3.8;14.3;0.5;70.21;8.97;87.64;3.48;-0.58;14.08;51.24;34.5;12.35;1
Slovakia;77.54;14.49;12.69;32113.05;3;1.35;;0;;188.8;1.14;2.6;18.4;0.1;67.61;6.74;185.25;2.19;0.27;12.84;34.16;57;15.54;1
Hungary;76.88;15.2;11.96;31328.81;4;4;;0;;174.6;2.49;6.2;22.2;0.1;66.79;6.88;162.98;3.78;0.62;12.82;34.08;70.1;10.77;1
Saudi Arabia;75.13;16.14;10.23;47495.43;-16;1.77;;29.61;;205.6;1.27;1.7;4.6;;64.48;5.23;62.16;0.58;4.06;13.48;26.12;22.4;13.81;1
Bahrain;77.29;16.25;9.52;42521.7;-12;0.56;;;;233.3;0.52;2.1;7.9;;66.59;4.75;151.4;0.3;31.11;13.56;9.26;17.4;11.92;1
