,HDI rank 2020,Country,HDI 2019 ,Life expectancy at birth 2019,Expected years of schooling 2019,Mean years of schooling 2019,Gross national income (GNI) per capita 2019,GNI per capita rank minus HDI rank 2019,HDI rank 2018,label,Refugees by country of origin 1000s 2019,Internally displaced persons 1000s,Homeless people due to natural disaster avergae per million,Orphaned children 1000s 2019,Prison population per 100k 2013-18,Homicide rate per 100k 2013-18,Suicides per 100K Female 2016,Suicides per 100K Male 2016,"HIV prevalence, adult % 15-49",Healthy life expectancy at birth,Current health expenditure % GDP,Exports and imports % GDP,"Foreign direct investment, net inflows  % GDP",Net migration rate per 1000,Lost health expectancy %,Physicians per 100k,Hospital beds,"Pupilteacher ratio, primary school",Country_code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,1990.1,1991.1,1992.1,1993.1,1994.1,1995.1,1996.1,1997.1,1998.1,1999.1,2000.1,2001.1,2002.1,2003.1,2004.1,2005.1,2006.1,2007.1,2008.1,2009.1,2010.1,2011.1,2012.1,2013.1,2014.1,2015.1,2016.1,2017.1,2018.1,2019.1
0,1.0,Norway,0.96,82.4,18.07,12.9,66494.25,7.0,1.0,1.0,0.01,..,..,..,79.80,0.47,6.50,13.60,0.10,70.84,10.45,72.15,0.44,5.27,14.56,29.16,35.30,8.59,NOR,0.8490000000000001,0.8540000000000001,0.861,0.8690000000000001,0.883,0.8809999999999999,0.887,0.893,0.904,0.909,0.915,0.914,0.917,0.9229999999999999,0.932,0.9309999999999999,0.934,0.9359999999999999,0.937,0.937,0.94,0.9420000000000001,0.941,0.9440000000000001,0.9440000000000001,0.9470000000000001,0.95,0.9540000000000001,0.956,0.9570000000000001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2.0,Ireland,0.96,82.31,18.71,12.67,68370.59,4.0,3.0,1.0,0.00,..,..,34.00,82.20,0.87,4.20,17.60,0.20,70.35,7.18,239.22,-20.39,4.92,14.22,33.13,29.70,16.06,IRL,0.773,0.777,0.782,0.7909999999999999,0.7979999999999999,0.805,0.8109999999999999,0.8190000000000001,0.851,0.8590000000000001,0.867,0.873,0.8809999999999999,0.889,0.898,0.904,0.9059999999999999,0.909,0.9109999999999999,0.9059999999999999,0.9009999999999999,0.902,0.9079999999999999,0.917,0.9279999999999999,0.935,0.943,0.9470000000000001,0.951,0.955,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2.0,Switzerland,0.96,83.78,16.33,13.38,69393.52,3.0,2.0,1.0,0.01,..,..,..,77.40,0.59,6.90,15.80,..,72.02,12.35,119.44,-2.61,6.14,14.24,42.96,46.30,9.93,CHE,0.84,0.8420000000000001,0.845,0.8490000000000001,0.852,0.856,0.863,0.872,0.882,0.889,0.898,0.9,0.899,0.905,0.909,0.914,0.92,0.9229999999999999,0.925,0.935,0.941,0.941,0.9440000000000001,0.946,0.9420000000000001,0.9470000000000001,0.9470000000000001,0.9490000000000001,0.955,0.955,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,4.0,"Hong Kong, China (SAR)",0.95,84.86,16.93,12.28,62984.77,7.0,4.0,1.0,0.01,..,0.00,..,111.70,0.65,..,..,..,..,..,352.82,14.53,3.99,..,..,..,13.35,HKG,0.784,0.789,0.794,0.802,0.807,0.8109999999999999,0.8140000000000001,0.8190000000000001,0.82,0.8240000000000001,0.83,0.838,0.845,0.8540000000000001,0.865,0.8740000000000001,0.8859999999999999,0.89,0.899,0.9009999999999999,0.904,0.907,0.914,0.9179999999999999,0.9259999999999999,0.93,0.9359999999999999,0.941,0.946,0.9490000000000001,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,4.0,Iceland,0.95,82.99,19.08,12.77,54682.38,14.0,4.0,1.0,0.01,..,0.00,..,40.40,0.89,4.70,21.70,0.10,72.32,8.33,85.92,-1.80,1.13,13.99,40.78,28.30,10.14,ISL,0.807,0.82,0.823,0.8240000000000001,0.8290000000000001,0.831,0.836,0.846,0.855,0.86,0.867,0.872,0.8809999999999999,0.887,0.8909999999999999,0.8959999999999999,0.899,0.905,0.899,0.898,0.898,0.907,0.915,0.927,0.9309999999999999,0.934,0.941,0.943,0.946,0.9490000000000001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,6.0,Germany,0.95,81.33,16.98,14.15,55314.35,11.0,4.0,1.0,0.07,..,..,..,79.10,0.95,4.80,13.60,0.10,69.72,11.25,88.10,1.33,6.57,14.13,42.49,80.00,12.30,DEU,0.8079999999999999,0.816,0.821,0.831,0.8370000000000001,0.8420000000000001,0.846,0.851,0.86,0.868,0.8759999999999999,0.884,0.89,0.8959999999999999,0.907,0.9079999999999999,0.9179999999999999,0.9209999999999999,0.924,0.924,0.927,0.9329999999999999,0.934,0.935,0.937,0.938,0.941,0.943,0.946,0.9470000000000001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,7.0,Sweden,0.95,82.8,19.48,12.55,54507.81,12.0,7.0,1.0,0.01,..,..,..,61.30,1.08,7.40,15.80,..,71.39,11.02,90.49,4.56,4.03,13.81,39.84,21.40,12.23,SWE,0.821,0.823,0.826,0.846,0.855,0.862,0.8690000000000001,0.88,0.894,0.899,0.903,0.905,0.9079999999999999,0.9129999999999999,0.9009999999999999,0.904,0.9079999999999999,0.91,0.907,0.905,0.9109999999999999,0.912,0.914,0.9329999999999999,0.935,0.938,0.94,0.9420000000000001,0.943,0.945,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,8.0,Australia,0.94,83.44,21.95,12.72,48084.84,15.0,7.0,1.0,0.02,..,55.35,140.00,172.60,0.89,6.00,17.40,0.10,70.31,9.21,45.69,2.77,6.40,15.19,36.78,38.40,..,AUS,0.871,0.871,0.873,0.8759999999999999,0.879,0.888,0.89,0.893,0.8959999999999999,0.9,0.903,0.905,0.907,0.909,0.9109999999999999,0.9059999999999999,0.909,0.912,0.9259999999999999,0.9279999999999999,0.93,0.932,0.937,0.9309999999999999,0.9329999999999999,0.938,0.9390000000000001,0.941,0.943,0.9440000000000001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,8.0,Netherlands,0.94,82.28,18.49,12.41,57707.07,6.0,9.0,1.0,0.06,..,..,100.00,65.90,0.59,6.40,12.90,..,70.62,10.10,154.32,3.09,0.94,13.61,36.05,31.70,11.81,NLD,0.836,0.84,0.841,0.846,0.871,0.868,0.872,0.872,0.8740000000000001,0.877,0.882,0.8859999999999999,0.885,0.89,0.892,0.897,0.903,0.91,0.9129999999999999,0.912,0.917,0.9279999999999999,0.9279999999999999,0.93,0.932,0.934,0.9359999999999999,0.9390000000000001,0.9420000000000001,0.9440000000000001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,10.0,Denmark,0.94,80.9,18.89,12.61,58661.87,2.0,10.0,1.0,0.01,..,..,..,63.20,1.01,5.20,13.20,0.10,69.92,10.11,105.00,-1.86,2.65,13.82,40.10,26.00,10.74,DNK,0.8059999999999999,0.8109999999999999,0.815,0.8220000000000001,0.831,0.8370000000000001,0.8440000000000001,0.85,0.856,0.868,0.87,0.883,0.89,0.9009999999999999,0.905,0.91,0.912,0.9109999999999999,0.917,0.914,0.917,0.93,0.9309999999999999,0.9329999999999999,0.935,0.9329999999999999,0.935,0.9359999999999999,0.9390000000000001,0.94,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
